id,date,home_team,home_team_score,visit_team,visit_team_score
320909027,2012-09-09,Tampa Bay,16,Carolina Panthers,10
320916029,2012-09-16,Carolina Panthers,35,New Orleans,27
321118029,2012-11-18,Carolina Panthers,21,Tampa Bay,27
321230018,2012-12-30,New Orleans,38,Carolina Panthers,44
320811029,2012-08-11,Carolina Panthers,13,Houston,26
321021027,2012-10-21,Tampa Bay,28,New Orleans Saints,35
321216018,2012-12-16,New Orleans Saints,41,Tampa Bay,0
320817018,2012-08-17,New Orleans Saints,24,Jacksonville,27
320825018,2012-08-25,New Orleans Saints,34,Houston,27
320830010,2012-08-30,Tennessee,10,New Orleans Saints,6
320817027,2012-08-17,Tampa Bay Buccaneers,7,Tennessee,30
320916030,2012-09-16,Jacksonville,7,Houston Texans,27
320930034,2012-09-30,Houston Texans,38,Tennessee,14
321118034,2012-11-18,Houston Texans,43,Jacksonville,37
321202010,2012-12-02,Tennessee,10,Houston Texans,24
321216034,2012-12-16,Houston Texans,29,Indianapolis,17
321230011,2012-12-30,Indianapolis,28,Houston Texans,16
320923011,2012-09-23,Indianapolis Colts,17,Jacksonville,22
321028010,2012-10-28,Tennessee,13,Indianapolis Colts,19
321108030,2012-11-08,Jacksonville,10,Indianapolis Colts,27
321209011,2012-12-09,Indianapolis Colts,27,Tennessee,23
321125030,2012-11-25,Jacksonville Jaguars,24,Tennessee,19
321230010,2012-12-30,Tennessee,38,Jacksonville Jaguars,20
